Token                ST_Pos
program              -1
read                 -1
integer              -1
IDENTIFIER           13
;                    -1
variable             -1
boolean              -1
IDENTIFIER           10
;                    -1
loopStart            -1
IDENTIFIER           8
from                 -1
CONSTANT             50
to                   -1
IDENTIFIER           13
variable             -1
integer              -1
IDENTIFIER           21
;                    -1
if                   -1
(                    -1
IDENTIFIER           21
==                   -1
CONSTANT             48
)                    -1
then                 -1
IDENTIFIER           10
=                    -1
false                -1
;                    -1
else                 -1
IDENTIFIER           10
=                    -1
true                 -1
;                    -1
endLoop              -1
IDENTIFIER           0
+                    -1
IDENTIFIER            1
if                   -1
(                    -1
IDENTIFIER           10
==                   -1
true                 -1
)                    -1
then                 -1
prints               -1
CONSTANT             85
;                    -1
else                 -1
prints               -1
CONSTANT             62
;                    -1
endProgram           -1
